User's manual r01uh0384ej0311-rl78g10; Version 1.00; March 01, 2017
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,10.3.3  A/D converter mode register 2 (ADM2),Figure10-6.FormatofA/DConverterModeRegister2(ADM2),,,
ADTYP,10.3.3  A/D converter mode register 2 (ADM2),Figure10-6.FormatofA/DConverterModeRegister2(ADM2),2,,
ADTES,10.3.7  A/D test register (ADTES),Figure10-11.FormatofA/DTestRegister(ADTES),,,
PU0,"4.3.3  Pull-up resistor option registers 0, 4, 12 (PU0, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,4,12(PU0,PU4,PU12)",,,
PU4,"4.3.3  Pull-up resistor option registers 0, 4, 12 (PU0, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,4,12(PU0,PU4,PU12)",,,
PU12,"4.3.3  Pull-up resistor option registers 0, 4, 12 (PU0, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,4,12(PU0,PU4,PU12)",,,
POM0,4.3.4  Port output mode register 0 (POM0),Figure4-4.FormatofPortOutputModeRegister0(POM0),,,
PMC0,4.3.5  Port mode control register 0 (PMC0),Figure4-5.FormatofPortModeControlRegister0(PMC0),,,
NFEN0,12.3.15  Noise filter enable register 0 (NFEN0),Figure12-18.FormatofNoiseFilterEnableRegister0(NFEN0),,,
NFEN1,6.3.12  Noise filter enable register 1 (NFEN1),Figure6-20.FormatofNoiseFilterEnableRegister1(NFEN1),,,
ISC,6.3.13  Input switch control register (ISC),Figure6-21.FormatofInputSwitchControlRegister(ISC),,TIMER  ARRAY  UNIT,
ISC,12.3.16  Input switch control register (ISC),Figure12-19.FormatofInputSwitchControlRegister(ISC),,SERIAL  ARRAY  UNIT,
PIOR,4.3.6  Peripheral I/O redirection register (PIOR),Figure4-6.FormatofPeripheralI/ORedirectionRegister(PIOR),,,
HOCODIV,5.3.8  High-speed on-chip oscillator frequency selection register (HOCODIV),Figure5-9.FormatofHigh-SpeedOn-ChipOscillatorFrequencySelectionRegister(HOCODIV),,,
PER0,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),,CLOCK  GENERATOR,
TAU0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
SAU0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
IICA0EN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(2/2),2,CLOCK  GENERATOR,
ADCEN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK  GENERATOR,
CMPEN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK  GENERATOR,
TMKAEN,5.3.6  Peripheral enable register 0 (PER0),Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK  GENERATOR,
PER0,6.3.1  Peripheral enable register 0 (PER0),Figure6-6.FormatofPeripheralEnableRegister0(PER0),,TIMER  ARRAY  UNIT,
